index;name;ArC;ArA;DDG_measured;temperature (C);ETF_ArC_side_ArA_pi_0_D_Boltz;ETF_ArC_side_ArA_pi_0_E_Boltz;ETF_ArC_side_ArA_pi_0_D_min;ETF_ArC_side_ArA_pi_0_E_min;ETF_ArC_side_ArA_pi_0_D_max;ETF_ArC_side_ArA_pi_0_E_max;ETF_ArA_side_Ph_pi_0_D_Boltz;ETF_ArA_side_Ph_pi_0_E_Boltz;ETF_ArA_side_Ph_pi_0_D_min;ETF_ArA_side_Ph_pi_0_E_min;ETF_ArA_side_Ph_pi_0_D_max;ETF_ArA_side_Ph_pi_0_E_max;S_ArC_pi_ArA_pi_60_D_Boltz;S_ArC_pi_ArA_pi_60_E_Boltz;S_ArC_pi_ArA_pi_60_D_min;S_ArC_pi_ArA_pi_60_E_min;S_ArC_pi_ArA_pi_60_D_max;S_ArC_pi_ArA_pi_60_E_max;ArC_L;ArC_B1;ArC_B5;ArC_Acid_NBO_O;ArC_Pint;ArC_dP;ArC_Pmin;ArC_Pmax;Amine_NBO_Ca;Amine_NBO_Cb;Amine_NBO_Cc;Amine_NBO_N13;Amine_occ_LP_N;Amine_E_LP_N;Amine_occ_p_CC;Amine_E_p_CC;Amine_occ_ps_CC;Amine_E_ps_CC;Amine_B1;Amine_B5;ArA_B1xB5;ArA_Pint;ArA_dP;ArA_Pmin;ArA_Pmax
10;Ph-Ph;Ph;Ph;0.666812267;25;292.7549998;-2.350650001;292.74;-2.3507;292.77;-2.3506;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;390.51;-1.4332;390.51;-1.4332;390.51;-1.4332;6.45;1.7;3.24;-0.59238;15.46;3.61;10.26;26.21;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
11;4AdPh-1Nap;4-Ad-Ph;1Nap;0.898405561;25;276.2963153;-4.182929626;275.92;-4.2721;276.84;-4.0541;371.2498182;-2.587221142;289.78;-2.5922;532.13;-2.5847;436.3792495;-3.496971466;412.68;-3.7623;467.08;-3.2409;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.246718998;-0.153582301;-0.211590947;-0.427144709;1.869908486;-0.351083029;1.928120851;-0.328205584;0.067033442;0.098615566;1.702388053;5.718805974;9.735626966;17.36;4.53;10.65;28.94
12;4AdPh-2Furyl;4-Ad-Ph;2Furyl;0.16699251;25;290.7449616;-2.242579187;290.56;-2.295;290.97;-2.1788;200.7452293;-2.358495656;198.83;-2.4888;200.98;-1.1841;402.6487559;-1.946556816;393.96;-2.1672;417;-1.6826;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.247016063;-0.157143392;-0.247906748;-0.429528828;1.869999363;-0.350095472;1.917683623;-0.322812952;0.099949968;0.087042788;1.7;3.155892946;5.365018008;14.73;3.33;9.28;22.99
13;4AdPh-2-Me-Ph;4-Ad-Ph;2-Me-Ph;0.61971545;25;280.2801105;-3.686475585;279.95;-3.7594;280.72;-3.5893;324.616024;-2.12675833;293.13;-2.282;403.36;-1.7387;424.9750956;-2.670886553;423.18;-2.7802;427.21;-2.4171;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.246669893;-0.157770453;-0.21406022;-0.430789671;1.869842091;-0.35092099;1.926177476;-0.323505952;0.072601656;0.099536378;1.781356518;4.4602603;7.945313757;15.62;3.9;10.32;27.18
14;4AdPh-2Nap;4-Ad-Ph;2Nap;1.579646038;25;274.6593306;-5.805518102;273.66;-5.97;277.95;-5.2639;347.2770364;-2.660075447;291.15;-2.7288;390.4;-2.5715;440.0027733;-3.71554211;412.29;-3.8398;481.37;-3.4761;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245390374;-0.157021302;-0.201599497;-0.427960521;1.870090105;-0.350753772;1.917096837;-0.322063199;0.080808943;0.090737542;1.7;4.556313371;7.74573273;17.36;4.53;10.65;28.94
15;4AdPh-2-OMe-Ph;4-Ad-Ph;2-OMe-Ph;0.502007036;25;281.5867375;-3.56040822;280.68;-3.7285;282.76;-3.3426;332.6011975;-2.194338467;290.48;-2.3234;501.15;-0.4745;429.082965;-2.632006168;422.48;-2.783;458.88;-2.3502;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245095124;-0.160185248;-0.203451532;-0.427742455;1.870132824;-0.346418399;1.922401896;-0.316503706;0.073448547;0.100656871;1.751089737;5.45;9.543439066;15.92;4.11;9.34;27.14
16;4AdPh-3-Me-Ph;4-Ad-Ph;3-Me-Ph;0.918697955;25;279.2795978;-3.844107961;278.97;-3.9303;279.72;-3.7215;324.616024;-2.12675833;293.13;-2.282;403.36;-1.7387;438.0111414;-2.311764007;425.6;-2.4547;534.4;-1.2294;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245105148;-0.157872918;-0.200880195;-0.428017757;1.869981573;-0.349396711;1.920164173;-0.319755317;0.077645902;0.093815358;1.748872128;4.443598885;7.771286239;15.62;3.9;10.32;27.18
17;4AdPh-4CF3Ph;4-Ad-Ph;4-CF3-Ph;1.075522999;25;322.7486872;-3.043726663;318.47;-3.2005;333.77;-2.6399;285.0869057;-3.260994043;285.06;-3.2694;285.12;-3.2567;425.7160265;-3.492617813;419.03;-3.5772;464.94;-2.5219;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.247572894;-0.138605221;-0.213893163;-0.427837755;1.870608288;-0.357459841;1.913560064;-0.333321989;0.072952847;0.080152842;2.027458418;3.336653764;6.764926763;16.65;3.79;10.23;27.24
18;4AdPh-4-Cl-Ph;4-Ad-Ph;4-Cl-Ph;1.447041772;25;285.763044;-3.960655519;283.88;-4.1103;290.1;-3.616;287.44;-2.966750004;287.44;-2.9668;287.44;-2.9667;427.1232114;-2.476274631;426.86;-2.4908;427.4;-2.461;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245872547;-0.152400268;-0.207194396;-0.429020791;1.87030168;-0.354283393;1.919085229;-0.327159065;0.078385831;0.086168668;1.722025828;3.341029162;5.753338509;17.26;3.98;10.38;27.23
19;4AdPh-4-F-Ph;4-Ad-Ph;4-F-Ph;1.407894114;25;284.6215141;-3.231169029;283.57;-3.3398;286.32;-3.0557;289.32;-2.7884;289.32;-2.7884;289.32;-2.7884;411.2179074;-3.271033952;403.5;-3.3499;421.8;-3.1629;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.2449042;-0.159377859;-0.203312838;-0.429370543;1.870083121;-0.352991829;1.922570836;-0.32494301;0.08055797;0.088574852;1.7;3.331991606;5.664385731;15.81;3.62;10.16;26.07
20;4AdPh-4-Me-Ph;4-Ad-Ph;4-Me-Ph;1.532561703;25;292.7434361;-3.702391585;288.68;-3.8306;300.28;-3.4646;292.19;-2.391750038;292.19;-2.3919;292.19;-2.3916;424.3302619;-2.744111213;423.18;-2.7802;425.34;-2.703;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.244434022;-0.161760765;-0.19890495;-0.427887554;1.869827999;-0.348786257;1.921354771;-0.318890215;0.080089484;0.094288565;1.757842568;3.330418341;5.854351131;15.62;3.9;10.32;27.18
21;4AdPh-4OMePh;4-Ad-Ph;4-OMe-Ph;1.051277391;25;284.537928;-4.228073813;284.26;-4.3474;285.02;-4.0211;288.9022695;-2.7079258;287.89;-2.8478;290.99;-2.4201;429.7138313;-2.704785596;422.48;-2.783;458.88;-2.3502;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.243299803;-0.170378749;-0.194333153;-0.427797031;1.869723256;-0.347779163;1.924389749;-0.317323134;0.085468138;0.095365888;1.805165104;3.341691319;6.032304557;15.92;4.11;9.34;27.14
22;4AdPh-4-Ph-Ph;4-Ad-Ph;4-Ph-Ph;1.21;25;340.6686106;-4.270536411;333.02;-4.4254;359.71;-3.885;286.4349987;-3.029950004;286.42;-3.03;286.45;-3.0299;415.8384521;-4.633521046;410.38;-4.8722;502.29;-2.6944;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245204661;-0.155343166;-0.202738142;-0.42788412;1.870078106;-0.350685244;1.91788247;-0.321751392;0.079616824;0.090974812;2.045913717;3.457490831;7.073727917;17.88;4.66;10.7;28.77
23;4AdPh-Ph;4-Ad-Ph;Ph;1.630229642;25;284.7659797;-3.224407627;284.43;-3.2906;285.2;-3.1389;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;431.73;-2.0315;431.73;-2.0315;431.73;-2.0315;10.66;3.18;3.75;-0.59625;17.92;3.67;11.19;30.47;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
24;345-Me3Ph-4-F-Ph;3,4,5-Me3-Ph;4-F-Ph;0.265023543;25;402.38;-1.8398;402.38;-1.8398;402.38;-1.8398;289.32;-2.7884;289.32;-2.7884;289.32;-2.7884;369.63;-3.6629;369.63;-3.6629;369.63;-3.6629;7.49;1.97;4.46;-0.59805;16.38;4.38;10.94;29.11;-0.2449042;-0.159377859;-0.203312838;-0.429370543;1.870083121;-0.352991829;1.922570836;-0.32494301;0.08055797;0.088574852;1.7;3.331991606;5.664385731;15.81;3.62;10.16;26.07
25;35-Me2-4-OMePh-4-F-Ph-avg;3,5-Me2-4-OMe-Ph;4-F-Ph;0.047423703;25;400.18;-1.7273;400.18;-1.7273;400.18;-1.7273;289.32;-2.7884;289.32;-2.7884;289.32;-2.7884;373.2689283;-3.605812826;366.68;-3.7607;418.82;-2.5188;8.39;1.85;4.46;-0.59766;16.33;4.4;10.08;29.78;-0.2449042;-0.159377859;-0.203312838;-0.429370543;1.870083121;-0.352991829;1.922570836;-0.32494301;0.08055797;0.088574852;1.7;3.331991606;5.664385731;15.81;3.62;10.16;26.07
